title,retention_time_sec,mz,intensity
MS_BA_18,448.468,312.106775,144.0
MS_BA_18,448.468,315.075351,91.0
MS_BA_18,448.468,380.093215,180.0
MS_BA_18,448.468,393.299225,222.0
MS_BA_18,448.468,400.099098,154.0
MS_BA_18,448.468,406.331122,140.0
MS_BA_18,448.468,413.267313,210.0
MS_BA_18,448.468,421.086978,263.0
MS_BA_18,448.468,422.080445,1256.0
MS_BA_18,448.468,423.086385,250.0
MS_BA_18,448.468,438.049594,121.0
MS_BA_18,448.969,173.081394,95.0
MS_BA_18,448.969,312.105464,152.0
MS_BA_18,448.969,315.075922,109.0
MS_BA_18,448.969,380.093601,216.0
MS_BA_18,448.969,393.298096,231.0
MS_BA_18,448.969,400.096326,161.0
MS_BA_18,448.969,406.328528,144.0
MS_BA_18,448.969,413.265552,217.0
MS_BA_18,448.969,421.087689,301.0
MS_BA_18,448.969,422.081259,1194.0
MS_BA_18,448.969,423.084705,259.0
MS_BA_18,448.969,438.049905,90.0
MS_BA_18,448.969,821.171589,79.0
MS_BA_18,449.47,173.078431,90.0
MS_BA_18,449.47,312.105529,114.0
MS_BA_18,449.47,315.076559,93.0
MS_BA_18,449.47,380.093408,176.0
MS_BA_18,449.47,393.298047,256.0
MS_BA_18,449.47,400.096326,156.0
MS_BA_18,449.47,406.330673,127.0
MS_BA_18,449.47,413.266307,202.0
MS_BA_18,449.47,421.08774,284.0
MS_BA_18,449.47,422.081259,1199.0
MS_BA_18,449.47,423.084502,283.0
MS_BA_18,449.47,424.081596,80.0
MS_BA_18,449.47,438.05208,92.0
MS_BA_18,449.47,821.175419,75.0
MS_BA_18,449.971,173.078268,125.0
MS_BA_18,449.971,312.103758,112.0
MS_BA_18,449.971,315.077768,88.0
MS_BA_18,449.971,380.092733,174.0
MS_BA_18,449.971,393.298292,256.0
MS_BA_18,449.971,400.096772,147.0
MS_BA_18,449.971,406.328877,132.0
MS_BA_18,449.971,413.267867,191.0
MS_BA_18,449.971,421.086876,265.0
MS_BA_18,449.971,422.08075,1139.0
MS_BA_18,449.971,423.084451,259.0
MS_BA_18,449.971,424.078385,83.0
MS_BA_18,449.971,438.051769,74.0
MS_BA_18,449.971,821.177051,73.0
MS_BA_18,450.472,173.077927,107.0
MS_BA_18,450.472,312.102512,105.0
MS_BA_18,450.472,315.077438,78.0
MS_BA_18,450.472,380.091816,156.0
MS_BA_18,450.472,393.297948,244.0
MS_BA_18,450.472,400.098257,129.0
MS_BA_18,450.472,406.328877,99.0
MS_BA_18,450.472,413.265049,211.0
MS_BA_18,450.472,421.087079,223.0
MS_BA_18,450.472,422.080547,1108.0
MS_BA_18,450.472,423.084604,257.0
MS_BA_18,450.472,424.077824,78.0
MS_BA_18,450.472,438.052028,74.0
MS_BA_18,450.472,821.180242,73.0
MS_BA_18,450.972,173.078041,141.0
MS_BA_18,450.972,312.104174,86.0
MS_BA_18,450.972,315.076625,66.0
MS_BA_18,450.972,380.091526,170.0
MS_BA_18,450.972,393.299961,216.0
MS_BA_18,450.972,400.096821,141.0
MS_BA_18,450.972,406.324586,121.0
MS_BA_18,450.972,413.264395,211.0
MS_BA_18,450.972,421.087029,234.0
MS_BA_18,450.972,422.080954,1047.0
MS_BA_18,450.972,423.085418,256.0
MS_BA_18,450.972,424.079251,84.0
MS_BA_18,451.473,173.078944,158.0
MS_BA_18,451.473,312.101069,75.0
MS_BA_18,451.473,315.074604,74.0
MS_BA_18,451.473,380.091961,161.0
MS_BA_18,451.473,393.301188,199.0
MS_BA_18,451.473,400.096821,133.0
MS_BA_18,451.473,406.323039,109.0
MS_BA_18,451.473,413.259464,225.0
MS_BA_18,451.473,421.086064,254.0
MS_BA_18,451.473,422.081056,1080.0
MS_BA_18,451.473,423.083127,268.0
MS_BA_18,451.473,424.080423,75.0
MS_BA_18,451.473,438.053738,88.0
MS_BA_18,451.975,173.078871,184.0
MS_BA_18,451.975,312.101419,75.0
MS_BA_18,451.975,380.094373,178.0
MS_BA_18,451.975,393.296623,220.0
MS_BA_18,451.975,394.301736,65.0
MS_BA_18,451.975,400.096871,136.0
MS_BA_18,451.975,406.326133,100.0
MS_BA_18,451.975,413.260319,202.0
MS_BA_18,451.975,421.083727,265.0
MS_BA_18,451.975,422.080039,1084.0
MS_BA_18,451.975,423.079818,256.0
MS_BA_18,451.975,424.079098,95.0
MS_BA_18,451.975,427.257682,68.0
MS_BA_18,451.975,438.052754,93.0
MS_BA_18,452.476,173.079123,160.0
MS_BA_18,452.476,312.101397,78.0
MS_BA_18,452.476,315.077658,66.0
MS_BA_18,452.476,380.092974,189.0
MS_BA_18,452.476,393.293874,211.0
MS_BA_18,452.476,400.096871,137.0
MS_BA_18,452.476,406.326033,75.0
MS_BA_18,452.476,413.259766,190.0
MS_BA_18,452.476,421.082407,239.0
MS_BA_18,452.476,422.080903,1100.0
MS_BA_18,452.476,423.080327,280.0
MS_BA_18,452.476,424.080067,76.0
MS_BA_18,452.476,427.247962,74.0
MS_BA_18,452.476,438.054101,77.0
MS_BA_18,452.476,821.178327,64.0
MS_BA_18,452.977,173.078244,129.0
MS_BA_18,452.977,315.07634,64.0
MS_BA_18,452.977,380.092974,182.0
MS_BA_18,452.977,393.29358,198.0
MS_BA_18,452.977,400.096623,140.0
MS_BA_18,452.977,406.327679,65.0
MS_BA_18,452.977,413.262734,211.0
MS_BA_18,452.977,421.083067,261.0
MS_BA_18,452.977,422.081056,1019.0
MS_BA_18,452.977,423.08216,246.0
MS_BA_18,452.977,424.084552,65.0
MS_BA_18,452.977,438.052702,75.0
MS_BA_18,453.478,173.078855,126.0
MS_BA_18,453.478,312.100916,65.0
MS_BA_18,453.478,380.093022,175.0
MS_BA_18,453.478,393.295396,241.0
MS_BA_18,453.478,400.096524,119.0
MS_BA_18,453.478,406.326731,66.0
MS_BA_18,453.478,413.265451,193.0
MS_BA_18,453.478,421.084997,226.0
MS_BA_18,453.478,422.08075,1034.0
MS_BA_18,453.478,423.085316,287.0
MS_BA_18,453.478,424.08129,73.0
MS_BA_18,453.478,438.054826,111.0
MS_BA_18,453.979,173.079148,117.0
MS_BA_18,453.979,312.103562,66.0
MS_BA_18,453.979,315.078273,65.0
MS_BA_18,453.979,380.094711,197.0
MS_BA_18,453.979,393.296181,205.0
MS_BA_18,453.979,400.099841,97.0
MS_BA_18,453.979,413.26525,159.0
MS_BA_18,453.979,421.085251,181.0
MS_BA_18,453.979,422.081666,905.0
MS_BA_18,453.979,423.083942,270.0
MS_BA_18,453.979,424.081341,72.0
MS_BA_18,453.979,438.049024,89.0
MS_BA_18,454.48,173.080247,101.0
MS_BA_18,454.48,312.10037,77.0
MS_BA_18,454.48,380.095676,198.0
MS_BA_18,454.48,393.29628,195.0
MS_BA_18,454.48,400.095583,111.0
MS_BA_18,454.48,413.263288,153.0
MS_BA_18,454.48,421.082356,201.0
MS_BA_18,454.48,422.081615,912.0
MS_BA_18,454.48,423.084604,270.0
MS_BA_18,454.48,424.080372,79.0
MS_BA_18,454.48,438.044465,87.0
MS_BA_18,454.981,173.078041,97.0
MS_BA_18,454.981,312.105726,79.0
MS_BA_18,454.981,315.080799,79.0
MS_BA_18,454.981,380.094277,171.0
MS_BA_18,454.981,393.298685,194.0
MS_BA_18,454.981,400.096276,122.0
MS_BA_18,454.981,413.262583,154.0
MS_BA_18,454.981,421.081696,215.0
MS_BA_18,454.981,422.081259,861.0
MS_BA_18,454.981,423.083585,225.0
MS_BA_18,454.981,438.044569,65.0
MS_BA_18,455.482,173.078399,86.0
MS_BA_18,455.482,312.098074,97.0
MS_BA_18,455.482,315.083303,72.0
MS_BA_18,455.482,335.876506,68.0
MS_BA_18,455.482,380.094277,160.0
MS_BA_18,455.482,393.29839,175.0
MS_BA_18,455.482,400.099395,106.0
MS_BA_18,455.482,413.263338,187.0
MS_BA_18,455.482,421.07743,221.0
MS_BA_18,455.482,422.081564,863.0
MS_BA_18,455.482,423.084756,209.0
MS_BA_18,455.482,438.046589,71.0
MS_BA_18,455.983,173.079579,91.0
MS_BA_18,455.983,312.100916,87.0
MS_BA_18,455.983,380.095628,195.0
